HOME, AWAY, no_score, result, res_b, res_db
OAK, TB, false, 1.000000, 1.000000, 1.000000
PIT, CIN, false, 1.000000, 1.000000, 1.000000
STL, MIL, true, 0.857143, 0.714286, 1.000000
WSH, COL, true, 0.642857, 0.571429, 0.714286
